Time[s], Channel 0, Channel 2
-0.087396000000000, 1, 0
-0.000636000000000, 0, 0
0.000000000000000, 0, 1
0.087489000000000, 1, 1
0.089973000000000, 1, 0
0.181526000000000, 0, 0
0.183174000000000, 0, 1
0.280509000000000, 0, 0
0.281405000000000, 1, 0
0.375204000000000, 1, 1
0.375387000000000, 0, 1
0.458242000000000, 1, 1
0.458390000000000, 1, 0
0.549011000000000, 1, 1
0.549356000000000, 0, 1
0.648265000000000, 0, 0
0.648887000000000, 1, 0
0.737677000000000, 1, 1
0.739356000000000, 0, 1
0.829646000000000, 1, 1
0.829871000000000, 1, 0
0.930276000000000, 1, 1
0.930791000000000, 0, 1
1.019427000000000, 1, 1
1.022691000000000, 1, 0
1.110337000000000, 0, 0
1.111549000000000, 0, 1
1.207894000000000, 0, 0
1.209181000000000, 1, 0
1.310769000000000, 1, 1
1.313105000000000, 0, 1
1.388435000000000, 0, 0
1.388537000000000, 1, 0
1.484620000000000, 0, 0
1.486853000000000, 0, 1
1.579132000000000, 0, 0
1.579736000000000, 1, 0
1.668923000000000, 1, 1
1.669002000000000, 0, 1
1.759662000000000, 1, 1
1.759854000000000, 1, 0
1.864435000000000, 1, 1
1.865469000000000, 0, 1
1.945206000000000, 1, 1
1.945629000000000, 1, 0
2.036804000000000, 0, 0
2.037453000000000, 0, 1
2.129625000000000, 1, 1
2.129987000000000, 1, 0
2.227894000000000, 1, 1
2.228985000000000, 0, 1
2.324294000000000, 0, 0
2.325945000000000, 1, 0
2.408402000000000, 0, 0
2.409303000000000, 0, 1
2.501083000000000, 1, 1
2.501947000000000, 1, 0
2.593685000000000, 0, 0
2.594958000000000, 0, 1
2.688355000000000, 1, 1
2.688813000000000, 1, 0
2.776394000000000, 0, 0
2.776909000000000, 0, 1
2.872857000000000, 1, 1
2.873402000000000, 1, 0
2.962103000000000, 1, 1
2.962829000000000, 0, 1
3.055536000000000, 1, 1
3.055953000000000, 1, 0
3.150423000000000, 0, 0
3.150644000000000, 0, 1
3.248247000000000, 1, 1
3.248261000000000, 1, 0
3.335142000000000, 1, 1
3.339381000000000, 0, 1
3.435132000000000, 1, 1
3.437058000000000, 1, 0
3.522854000000000, 0, 0
3.523407000000000, 0, 1
3.616073000000000, 1, 1
3.618962000000000, 1, 0
3.708270000000000, 1, 1
3.708509000000000, 0, 1
3.804895000000000, 0, 0
3.804981000000000, 1, 0
3.895207000000000, 0, 0
3.895542000000000, 0, 1
3.984186000000000, 1, 1
3.988424000000000, 1, 0
4.080913000000000, 1, 1
4.081520000000000, 0, 1
4.175065000000000, 0, 0
4.175534000000000, 1, 0
4.267879000000000, 0, 0
4.270416000000000, 0, 1
4.359146000000000, 0, 0
4.361117000000000, 1, 0
4.455234000000000, 0, 0
4.455623999999999, 0, 1
4.544854000000000, 1, 1
4.546290000000000, 1, 0
4.636089999999999, 0, 0
4.636326000000000, 0, 1
4.730783000000000, 1, 1
4.730982000000000, 1, 0
4.822667000000000, 1, 1
4.823265000000000, 0, 1
4.927674000000000, 0, 0
4.929787999999999, 1, 0
5.005087000000000, 0, 0
5.009132999999999, 0, 1
5.104210000000000, 1, 1
5.104671000000000, 1, 0
5.195186000000000, 1, 1
5.197225000000000, 0, 1
5.291581000000000, 0, 0
5.292663999999999, 1, 0
5.380987000000000, 1, 1
5.382268000000000, 0, 1
5.475172000000000, 1, 1
5.477257000000000, 1, 0
5.567032999999999, 0, 0
5.567461000000000, 0, 1
5.657516999999999, 1, 1
5.658664000000000, 1, 0
5.752522000000000, 1, 1
5.753927000000000, 0, 1
5.853009999999999, 1, 1
5.855112999999999, 1, 0
5.941021999999999, 1, 1
5.942902000000000, 0, 1
6.033665000000000, 1, 1
6.034909000000000, 1, 0
6.123168000000000, 0, 0
6.123341000000000, 0, 1
6.225393000000000, 0, 0
6.226374000000000, 1, 0
6.309851000000000, 1, 1
6.314204999999999, 0, 1
6.419289000000000, 0, 0
6.421107000000000, 1, 0
6.502396999999999, 0, 0
6.503842000000000, 0, 1
6.591828000000000, 0, 0
6.591971999999999, 1, 0
6.683333999999999, 1, 1
6.684799000000000, 0, 1
6.781122000000000, 0, 0
6.782532000000000, 1, 0
6.871436000000000, 1, 1
6.871553000000000, 0, 1
6.964745000000000, 0, 0
6.965519000000000, 1, 0
7.061124000000000, 0, 0
7.063692000000000, 0, 1
7.148603000000000, 1, 1
7.148749000000000, 1, 0
7.245322000000000, 1, 1
7.247018000000000, 0, 1
7.334569999999999, 1, 1
7.334848999999999, 1, 0
7.438097000000000, 0, 0
7.443021000000000, 0, 1
7.520620999999999, 0, 0
7.522033000000000, 1, 0
7.613434000000000, 1, 1
7.613642000000000, 0, 1
7.705591000000000, 0, 0
7.705971000000000, 1, 0
7.796702000000000, 0, 0
7.796869000000000, 0, 1
7.887829000000000, 1, 1
7.888420000000000, 1, 0
7.981627000000000, 0, 0
7.981966000000000, 0, 1
8.073345999999999, 1, 1
8.073865999999999, 1, 0
8.164593000000000, 1, 1
8.166029000000000, 0, 1
8.260695000000000, 1, 1
8.261989000000000, 1, 0
8.351476000000000, 0, 0
8.351896999999999, 0, 1
8.443486000000000, 1, 1
8.443550999999999, 1, 0
8.539088000000000, 0, 0
8.539159999999999, 0, 1
8.630912000000000, 1, 1
8.631477000000000, 1, 0
8.725527999999999, 0, 0
8.726559000000000, 0, 1
8.815085000000000, 1, 1
8.815420000000000, 1, 0
8.909677000000000, 1, 1
8.911479999999999, 0, 1
9.003548000000000, 0, 0
9.003622000000000, 1, 0
9.094393000000000, 1, 1
9.095390999999999, 0, 1
9.196679000000000, 0, 0
9.198727999999999, 1, 0
9.292676000000000, 0, 0
9.294276000000000, 0, 1
9.375905999999999, 1, 1
9.378418999999999, 1, 0
9.471287999999999, 1, 1
9.472996000000000, 0, 1
9.566343000000000, 1, 1
9.566697999999999, 1, 0
9.654612999999999, 1, 1
9.654833999999999, 0, 1
9.746521999999999, 1, 1
9.746765000000000, 1, 0
9.840859999999999, 1, 1
9.841158000000000, 0, 1
9.930963999999999, 0, 0
9.934889999999999, 1, 0
10.028976000000000, 0, 0
10.030054999999999, 0, 1
10.123443999999999, 1, 1
10.123478000000000, 1, 0
10.219462000000000, 0, 0
10.221968000000000, 0, 1
10.303732000000000, 0, 0
10.307720999999999, 1, 0
10.402642000000000, 1, 1
10.403680000000000, 0, 1
10.490966000000000, 1, 1
10.491256000000000, 1, 0
10.581515999999999, 1, 1
10.582872999999999, 0, 1
10.672120999999999, 1, 1
10.673313000000000, 1, 0
10.769470000000000, 1, 1
10.769722000000000, 0, 1
10.860585000000000, 0, 0
10.860792999999999, 1, 0
10.951713999999999, 0, 0
10.951836999999999, 0, 1
11.062194000000000, 1, 1
11.063421000000000, 1, 0
11.139654000000000, 0, 0
11.140749000000000, 0, 1
11.241166000000000, 1, 1
11.241546000000000, 1, 0
11.321563999999999, 1, 1
11.324327000000000, 0, 1
11.420366000000000, 0, 0
11.421616999999999, 1, 0
11.511920000000000, 0, 0
11.512186000000000, 0, 1
11.601070000000000, 1, 1
11.602895000000000, 1, 0
11.698879999999999, 0, 0
11.699081000000000, 0, 1
11.791340000000000, 1, 1
11.794787999999999, 1, 0
11.880917000000000, 0, 0
11.881129000000000, 0, 1
11.976635999999999, 0, 0
11.976955999999999, 1, 0
12.070031999999999, 1, 1
12.070805999999999, 0, 1
12.159151000000000, 0, 0
12.160833999999999, 1, 0
12.255493999999999, 1, 1
12.255801999999999, 0, 1
12.348820000000000, 0, 0
12.349544999999999, 1, 0
12.440514000000000, 0, 0
12.443242999999999, 0, 1
12.531298000000000, 1, 1
12.534898999999999, 1, 0
12.627991999999999, 0, 0
12.630657999999999, 0, 1
12.721205999999999, 1, 1
12.745846999999999, 1, 0
12.816196000000000, 1, 1
12.817366999999999, 0, 1
12.906614999999999, 1, 1
12.906996999999999, 1, 0
12.997705999999999, 1, 1
12.998856999999999, 0, 1
13.091018000000000, 0, 0
13.092331999999999, 1, 0
13.183662000000000, 1, 1
13.185352999999999, 0, 1
13.282964000000000, 0, 0
13.283733999999999, 1, 0
13.369242000000000, 0, 0
13.369892000000000, 0, 1
13.461986999999999, 0, 0
13.462645000000000, 1, 0
13.556201999999999, 1, 1
13.556415999999999, 0, 1
13.648289000000000, 1, 1
13.648493999999999, 1, 0
13.738323999999999, 1, 1
13.738907999999999, 0, 1
13.834595000000000, 1, 1
13.834906999999999, 1, 0
13.926286999999999, 1, 1
13.926629999999999, 0, 1
14.020690000000000, 0, 0
14.021220000000000, 1, 0
14.109078999999999, 1, 1
14.109446999999999, 0, 1
14.208280999999999, 0, 0
14.209570999999999, 1, 0
14.298738000000000, 0, 0
14.300111999999999, 0, 1
14.389742999999999, 1, 1
14.390146999999999, 1, 0
14.483421999999999, 0, 0
14.483597999999999, 0, 1
14.577484999999999, 1, 1
14.577565999999999, 1, 0
14.667812000000000, 1, 1
14.669229000000000, 0, 1
14.759606999999999, 0, 0
14.760028000000000, 1, 0
14.858305000000000, 1, 1
14.858326999999999, 0, 1
14.949235999999999, 0, 0
14.949266999999999, 1, 0
15.044552999999999, 0, 0
